"partner_name";"offer_name";"category";"percents_";"selltype";"city_name";"comment";"enddate"
Teana;Teanа;Парфюмерия и косметика;10;Online;;"Предложение действительно только в интернет-магазине teana-labs.ru. Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «ТД ТИАНА"". Оператор АО «Райффайзенбанк».";2021-10-01 03:00:00
Prime Travel ;Prime Travel;Путешествия;5;Online;;Кэшбэк – возврат средств.Сроки проведения акции: 16.09.2020 – 31.12.2020. Акция действует по всей территории РФ. Кэшбэк начисляется за любое количество покупок в течение срока акции. Срок выплат кэшбэка - в течение 60 рабочих дней от последнего числа месяца, к который совершена покупка. ООО «Прайм Тревел»;2020-12-31 03:00:00
Special Travel Club;Special Travel Club;Путешествия;12;Online;;"";2020-12-31 03:00:00
Hotels.com;Hotels.com;Путешествия;10;"";;Промокод действует только на отели, участвующие в программе Best Price Guarantee. ;2020-12-31 03:00:00
Яндекс.Плюс;Яндекс.Плюс;Досуг и развлечения;;Online;;"90 дней подписки Яндекс.Плюс. Активация по ссылке https://plus.yandex.ru/gift?code=RAIFPLUS. Требуется указание данных банковской карты. Предложение до 31 декабря  2020 г. только для новых пользователей, ранее не оформлявших подписку Яндекс.Плюс. После бесплатного периода автопродление 199 руб/мес. Подробные условия использования промокодов: https://yandex.ru/support/plus/promocode.html. Условия подписки Яндекс.Плюс https://yandex.ru/legal/yandex_plus_conditions. Правила программы лояльности «Яндекс.Плюс Кэшбэк» http://yandex.ru/legal/plus_loyalty";2020-12-31 03:00:00
Rentalcars.com;Rentalcars.com;Аренда авто и транспорта;10;"";;Скидка не предоставляется при бронировании автомобиля в мобильном приложении. Скидка предоставляется только при переходе на сайт партнера по указанным ссылкам ниже, а также только при оплате картой Райффайзенбанка. Просим обратить внимание, что после перехода на сайт партнера, сверху присутствует логотип Райффайзенбанка. Если логотип отсутствует, рекомендуем обновить страницу нажатием клавиш Сtrl + F5 и повторить попытку. Поле для применения промо-кода присутствует на моменте оплаты бронирования (шаг 4 из 5).;2020-12-31 03:00:00
Комус;Комус;Интернет-магазины;6;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Кэшбэк 6% выплачивается новым клиентам за первую покупку при условии оплаты на сайте. Организатор акции ООО «Комус». Оператор АО «Райффайзенбанк»;2020-12-31 03:00:00
Gett;Gett;Услуги и сервисы;15;Online;;Кэшбэк выплачивается только новым клиентам Gett, ранее не совершавших покупок.Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «ГетТакси Рус». Оператор АО «Райффайзенбанк»;2020-12-31 03:00:00
ИЛЬ ДЕ БОТЭ ;ИЛЬ ДЕ БОТЭ;Парфюмерия и косметика;25;Retail;;Список брендов, участвующих в акции, просьба уточнять у менеджера магазина.;2020-12-31 03:00:00
ВкусВилл Готовит;ВкусВилл Готовит;Интернет-магазины;5;Online;;Сроки проведения акции: 24.09.2020 – 24.11.2020. Кэшбэк – возврат средств. Акция проводится в городах Белгород, Брянск, Владимир, Волгоград, Воронеж, Иваново, Калуга, Кострома, Курск, Липецк, Нижний Новгород, Орел, Рязань, Саранск, Саратов, Смоленск, Тамбов, Тверь, Тула, Ульяновск, Чебоксары, Ярославле. Кэшбэк выплачивается в течение 60 рабочих дней от даты завершения акции. ООО «Вкусвилл».;2020-11-24 03:00:00
Аудиомания;Аудиомания;Бытовая техника и электроника;5;Retail;;Кэшбэк выплачивается только новым клиентам Аудиомании, ранее не совершавших покупок. Кэшбэк выплачивается в течение 60 дней от даты оплаты.Организатор акции ИП Назаров Д.Б. Оператор АО «Райффайзенбанк».;2020-12-31 03:00:00
